epic_host,k2_campaign_str,k2_name,alt_name,tm_designation,k2_kepmag,ra_str,dec_str,last_update
EPIC 204890128,2,K2-53 b,K2-53 b,2MASS J16163403-2024019,11.888,16h16m34.04s,-20d24m01.9s,2016-07-18
EPIC 205916793,3,K2-54 b,K2-54 b,2MASS J22321299-1732384,13.441,22h32m13.01s,-17d32m38.4s,2016-07-18
EPIC 205924614,3,K2-55 b,K2-55 b,2MASS J22150046-1715025,13.087,22h15m00.46s,-17d15m02.5s,2016-07-18
EPIC 206026136,3,K2-57 b,K2-57 b,2MASS J22504600-1404116,14.101,22h50m46.01s,-14d04m11.6s,2016-07-18
EPIC 206026904,3,K2-58 b,K2-58 b,2MASS J22151722-1402593,12.150,22h15m17.23s,-14d02m59.3s,2016-07-18
EPIC 206026904,3,K2-58 c,K2-58 c,2MASS J22151722-1402593,12.150,22h15m17.23s,-14d02m59.3s,2016-07-18
EPIC 206026904,3,K2-58 d,K2-58 d,2MASS J22151722-1402593,12.150,22h15m17.23s,-14d02m59.3s,2016-07-18
EPIC 206027655,3,K2-59 b,K2-59 b,2MASS J22354616-1401398,13.869,22h35m46.16s,-14d01m39.9s,2016-07-18
EPIC 206027655,3,K2-59 c,K2-59 c,2MASS J22354616-1401398,13.869,22h35m46.16s,-14d01m39.9s,2016-07-18
EPIC 206038483,3,K2-60 b,K2-60 b,2MASS J22342548-1343541,12.590,22h34m25.48s,-13d43m54.1s,2016-07-18
EPIC 206044803,3,K2-61 b,K2-61 b,2MASS J22384194-1333360,12.975,22h38m41.94s,-13d33m36.1s,2016-07-18
EPIC 206096602,3,K2-62 b,K2-62 b,2MASS J22172739-1211150,12.045,22h17m27.40s,-12d11m15.0s,2016-07-18
EPIC 206096602,3,K2-62 c,K2-62 c,2MASS J22172739-1211150,12.045,22h17m27.40s,-12d11m15.0s,2016-07-18
EPIC 206101302,3,K2-63 b,K2-63 b,2MASS J22134239-1203587,12.703,22h13m42.40s,-12d03m58.9s,2016-07-18
EPIC 206125618,3,K2-64 b,K2-64 b,2MASS J22093926-1125434,13.894,22h09m39.27s,-11d25m43.5s,2016-07-18
EPIC 206144956,3,K2-65 b,K2-65 b,2MASS J22125079-1055311,10.396,22h12m50.82s,-10d55m31.4s,2016-07-18
EPIC 206153219,3,K2-66 b,K2-66 b,2MASS J22060640-1042414,12.051,22h06m06.41s,-10d42m41.6s,2016-07-18
EPIC 211331236,5,K2-117 b,K2-117 b,2MASS J08552535+1028087,13.905,08h55m25.36s,+10d28m08.9s,2017-10-05
EPIC 206159027,3,K2-68 b,K2-68 b,2MASS J22160474-1034022,12.597,22h16m04.75s,-10d34m02.3s,2016-07-18
EPIC 206162305,3,K2-69 b,K2-69 b,2MASS J22230229-1029187,14.807,22h23m02.29s,-10d29m18.9s,2016-07-18
EPIC 206181769,3,K2-70 b,K2-70 b,2MASS J22335419-1005057,12.770,22h33m54.19s,-10d05m05.8s,2016-07-18
EPIC 206192813,3,K2-71 b,K2-71 b,2MASS J22465386-0952538,14.875,22h46m53.86s,-09d52m53.8s,2016-07-18
EPIC 206209135,3,K2-72 b,K2-72 b,2MASS J22182923-0936444,14.407,22h18m29.27s,-09d36m44.6s,2016-07-18
EPIC 206209135,3,K2-72 c,K2-72 c,2MASS J22182923-0936444,14.407,22h18m29.27s,-09d36m44.6s,2016-07-18
EPIC 206209135,3,K2-72 d,K2-72 d,2MASS J22182923-0936444,14.407,22h18m29.27s,-09d36m44.6s,2016-07-18
EPIC 206209135,3,K2-72 e,K2-72 e,2MASS J22182923-0936444,14.407,22h18m29.27s,-09d36m44.6s,2016-07-18
EPIC 206245553,3,K2-73 b,K2-73 b,2MASS J22200610-0903219,11.745,22h20m06.12s,-09d03m21.9s,2016-07-18
EPIC 206268299,3,K2-74 b,K2-74 b,2MASS J22394063-0842521,12.430,22h39m40.64s,-08d42m52.2s,2016-07-18
EPIC 206348688,3,K2-75 b,K2-75 b,2MASS J22352275-0728114,12.566,22h35m22.76s,-07d28m11.5s,2016-07-18
EPIC 206348688,3,K2-75 c,K2-75 c,2MASS J22352275-0728114,12.566,22h35m22.76s,-07d28m11.5s,2016-07-18
EPIC 211331236,5,K2-117 c,K2-117 c,2MASS J08552535+1028087,13.905,08h55m25.36s,+10d28m08.9s,2017-10-05
EPIC 210363145,4,K2-77 b,K2-77 b,2MASS J03405481+1234216,11.896,03h40m54.82s,+12d34m21.4s,2016-07-18
EPIC 211680698,5,K2-118 b,K2-118 b,2MASS J08483045+1539216,13.727,08h48m30.45s,+15d39m21.5s,2017-10-05
EPIC 210402237,4,K2-79 b,K2-79 b,2MASS J03410141+1331098,11.801,03h41m01.42s,+13d31m09.7s,2016-07-18
EPIC 210403955,4,K2-80 b,K2-80 b,2MASS J03560900+1333334,12.388,03h56m09.00s,+13d33m33.4s,2016-07-18
EPIC 210403955,4,K2-80 c,K2-80 c,2MASS J03560900+1333334,12.388,03h56m09.00s,+13d33m33.4s,2016-07-18
EPIC 210448987,4,K2-81 b,K2-81 b,2MASS J03495652+1430080,13.927,03h49m56.52s,+14d30m07.9s,2016-07-18
EPIC 211770795,5,K2-119 b,K2-119 b,2MASS J08480233+1654067,14.489,08h48m02.34s,+16d54m06.7s,2017-10-05
EPIC 210508766,4,K2-83 b,K2-83 b,2MASS J03593637+1533320,13.844,03h59m36.37s,+15d33m32.0s,2016-07-18
EPIC 210508766,4,K2-83 c,K2-83 c,2MASS J03593637+1533320,13.844,03h59m36.37s,+15d33m32.0s,2016-07-18
EPIC 210577548,4,K2-84 b,K2-84 b,2MASS J03431422+1638044,13.138,03h43m14.23s,+16d38m04.4s,2016-07-18
EPIC 210577548,4,K2-84 c,K2-84 c,2MASS J03431422+1638044,13.138,03h43m14.23s,+16d38m04.4s,2016-07-18
EPIC 210707130,4,K2-85 b,K2-85 b,2MASS J03575144+1827551,12.099,03h57m51.45s,+18d27m54.9s,2016-07-18
EPIC 210718708,4,K2-86 b,K2-86 b,2MASS J03261265+1838081,12.801,03h26m12.67s,+18d38m08.2s,2016-07-18
EPIC 210731500,4,K2-87 b,K2-87 b,2MASS J04245669+1849387,13.691,04h24m56.69s,+18d49m38.7s,2016-07-18
EPIC 210750726,4,K2-88 b,K2-88 b,2MASS J03390038+1907126,14.594,03h39m00.38s,+19d07m12.6s,2016-07-18
EPIC 210838726,4,K2-89 b,K2-89 b,2MASS J03481599+2027347,13.307,03h48m16.01s,+20d27m34.7s,2016-07-18
EPIC 210968143,4,K2-90 b,K2-90 b,2MASS J03563656+2228216,13.723,03h56m36.58s,+22d28m21.5s,2016-07-18
