epic_host,k2_campaign_str,k2_name,alt_name,tm_designation,k2_kepmag,ra_str,dec_str,last_update
EPIC 202126852,0,K2-20 b,HAT-P-56 b,2MASS J06432353+2715082,10.900,06h43m23.53s,+27d15m08.3s,2015-07-30
EPIC 210490365,4,K2-25 b,K2-25 b,2MASS J04130560+1514520,14.528,04h13m05.62s,+15d14m51.9s,2016-01-05
EPIC 206247743,3,K2-39 b,K2-39 b,2MASS J22332842-0901219,10.581,22h33m28.41s,-09d01m22.0s,2016-06-03
EPIC 211351816,5,K2-97 b,K2-97 b,2MASS J08310308+1050513,12.409,08h31m03.08s,+10d50m51.3s,2016-09-29
EPIC 211391664,5,K2-98 b,K2-98 b,2MASS J08255719+1130402,12.102,08h25m57.19s,+11d30m40.1s,2016-09-29
EPIC 201437844,10,K2-109 b,HD 106315 b,2MASS J12135339-0023365,9.234,12h13m53.39s,-00d23m36.5s,2017-03-02
EPIC 212521166,6,K2-110 b,K2-110 b,2MASS J13492388-1217042,11.590,13h49m23.89s,-12d17m04.2s,2017-05-18
EPIC 220504338,8,K2-113 b,K2-113 b,2MASS J01174783+0652080,13.514,01h17m47.83s,+06d52m08.0s,2017-07-27
EPIC 212398486,6,K2-125 b,K2-125 b,2MASS J13363410-1456512,15.147,13h36m34.11s,-14d56m51.4s,2017-10-05
EPIC 212460519,6,K2-126 b,K2-126 b,2MASS J13341115-1334370,12.445,13h34m11.17s,-13d34m36.9s,2017-10-05
EPIC 212554013,6,K2-127 b,K2-127 b,2MASS J13481881-1135204,14.733,13h48m18.81s,-11d35m20.3s,2017-10-05
EPIC 212686205,6,K2-128 b,K2-128 b,2MASS J13374504-0835494,12.256,13h37m45.04s,-08d35m49.4s,2017-10-05
EPIC 214787262,7,K2-129 b,K2-129 b,2MASS J19163558-2538417,12.533,19h16m35.60s,-25d38m41.9s,2017-10-05
EPIC 217941732,7,K2-130 b,K2-130 b,2MASS J19210486-1941269,12.283,19h21m04.86s,-19d41m26.9s,2017-10-05
EPIC 201912552,1,K2-18 c,K2-18 c,2MASS J11301450+0735180,12.473,11h30m14.51s,+07d35m18.2s,2017-12-21
EPIC 228735255,10,K2-140 b,K2-140 b,2MASS J12323296-0936274,12.483,12h32m32.96s,-09d36m27.5s,2018-01-05
EPIC 246441449,12,K2-134 b,WASP-151 b,2MASS J23161522+0018242,12.670,23h16m15.23s,+00d18m24.3s,2017-10-27
EPIC 246393474,12,K2-141 b,K2-141 b,2MASS J23233996-0111215,10.619,23h23m39.97s,-01d11m21.4s,2018-01-18
EPIC 246393474,12,K2-141 c,K2-141 c,2MASS J23233996-0111215,10.619,23h23m39.97s,-01d11m21.4s,2018-01-18
EPIC 217671466,7,K2-142 b,HATS-9 b,2MASS J19231442-2009587,13.095,19h23m14.42s,-20d09m58.7s,2018-01-18
EPIC 216414930,7,K2-143 b,HATS-11 b,2MASS J19173618-2223236,13.737,19h17m36.18s,-22d23m23.7s,2018-01-18
EPIC 218131080,7,K2-144 b,HATS-12 b,2MASS J19164857-1921212,12.700,19h16m48.57s,-19d21m21.3s,2018-01-18
EPIC 215969174,7,K2-145 b,HATS-36 b,2MASS J19255488-2312100,14.300,19h25m54.89s,-23d12m10.1s,2018-01-18
EPIC 211924657,5,K2-146 b,K2-146 b,2MASS J08400641+1905346,15.031,08h40m06.43s,+19d05m34.4s,2018-02-01
EPIC 213715787,7,K2-147 b,K2-147 b,2MASS J19351996-2829523,13.355,19h35m19.97s,-28d29m52.2s,2018-02-01
EPIC 220194974,8,K2-148 b,K2-148 b,2MASS J00580427-0011353,12.975,00h58m04.28s,-00d11m35.4s,2018-02-01
EPIC 220194974,8,K2-148 c,K2-148 c,2MASS J00580427-0011353,12.975,00h58m04.28s,-00d11m35.4s,2018-02-01
EPIC 220194974,8,K2-148 d,K2-148 d,2MASS J00580427-0011353,12.975,00h58m04.28s,-00d11m35.4s,2018-02-01
EPIC 220522664,8,K2-149 b,K2-149 b,2MASS J00391724+0716375,13.787,00h39m17.26s,+07d16m37.6s,2018-02-01
EPIC 220598331,8,K2-150 b,K2-150 b,2MASS J01132260+0859152,14.847,01h13m22.60s,+08d59m15.1s,2018-02-01
EPIC 220621087,8,K2-151 b,K2-151 b,2MASS J01171307+0930050,13.384,01h17m13.09s,+09d30m05.0s,2018-02-01
EPIC 201128338,10,K2-152 b,K2-152 b,2MASS J12063188-0549386,13.114,12h06m31.87s,-05d49m38.7s,2018-02-01
EPIC 201598502,10,K2-153 b,K2-153 b,2MASS J12151420+0201153,14.331,12h15m14.21s,+02d01m15.4s,2018-02-01
EPIC 228934525,10,K2-154 b,K2-154 b,2MASS J12360036-0240100,13.351,12h36m00.36s,-02d40m10.1s,2018-02-01
EPIC 228934525,10,K2-154 c,K2-154 c,2MASS J12360036-0240100,13.351,12h36m00.36s,-02d40m10.1s,2018-02-01
EPIC 210897587,13,K2-155 b,K2-155 b,2MASS J04215245+2121131,12.656,04h21m52.49s,+21d21m13.0s,2018-02-01
EPIC 210897587,13,K2-155 c,K2-155 c,2MASS J04215245+2121131,12.656,04h21m52.49s,+21d21m13.0s,2018-02-01
EPIC 210897587,13,K2-155 d,K2-155 d,2MASS J04215245+2121131,12.656,04h21m52.49s,+21d21m13.0s,2018-02-01
EPIC 201110617,10,K2-156 b,K2-156 b,2MASS J12104805-0617391,12.947,12h10m48.04s,-06d17m39.1s,2018-02-15
EPIC 201130233,10,K2-157 b,K2-157 b,2MASS J12150031-0546550,12.604,12h15m00.32s,-05d46m55.2s,2018-02-15
EPIC 201132684,10,K2-158 b,K2-158 b,2MASS J11594560-0543182,11.678,11h59m45.60s,-05d43m18.2s,2018-02-15
EPIC 201225286,10,K2-159 b,K2-159 b,2MASS J12020980-0334507,11.729,12h02m09.81s,-03d34m50.6s,2018-02-15
EPIC 201227197,10,K2-160 b,K2-160 b,2MASS J12161309-0333111,12.486,12h16m13.10s,-03d33m11.1s,2018-02-15
EPIC 201231064,10,K2-161 b,K2-161 b,2MASS J12151051-0329442,12.358,12h15m10.52s,-03d29m44.2s,2018-02-15
EPIC 201390048,10,K2-162 b,K2-162 b,2MASS J12240928-0106408,11.961,12h24m09.28s,-01d06m40.9s,2018-02-15
EPIC 201427874,10,K2-163 b,K2-163 b,2MASS J12091905-0032204,12.819,12h09m19.04s,-00d32m20.6s,2018-02-15
EPIC 201460826,1,K2-164 b,K2-164 b,2MASS J11274407-0003462,11.130,11h27m44.08s,-00d03m46.2s,2018-02-15
EPIC 201528828,10,K2-165 b,K2-165 b,2MASS J12193607+0058064,11.415,12h19m36.08s,+00d58m06.2s,2018-02-15
EPIC 201528828,10,K2-165 c,K2-165 c,2MASS J12193607+0058064,11.415,12h19m36.08s,+00d58m06.2s,2018-02-15
EPIC 210957318,4,K2-30 b,K2-30 b,2MASS J03292204+2217577,13.171,03h29m22.07s,+22d17m57.9s,2016-04-14
EPIC 211916756,5,K2-95 b,K2-95 b,2MASS J08372705+1858360,15.498,08h37m27.06s,+18d58m36.1s,2016-09-08
EPIC 220383386,8,K2-96 b,HD 3167 b,2MASS J00345752+0422531,8.945,00h34m57.52s,+04d22m53.3s,2016-09-08
EPIC 220383386,8,K2-96 c,HD 3167 c,2MASS J00345752+0422531,8.945,00h34m57.52s,+04d22m53.3s,2016-09-08
EPIC 212803289,6,K2-99 b,K2-99 b,2MASS J13550570-0526330,11.014,13h55m05.70s,-05d26m32.9s,2016-10-06
EPIC 211990866,5,K2-100 b,K2-100 b,2MASS J08382429+2006217,10.408,08h38m24.30s,+20d06m21.8s,2016-12-21
EPIC 211913977,5,K2-101 b,K2-101 b,2MASS J08412258+1856020,12.619,08h41m22.58s,+18d56m01.9s,2016-12-21
EPIC 211970147,5,K2-102 b,K2-102 b,2MASS J08401345+1946436,12.872,08h40m13.45s,+19d46m43.7s,2016-12-21
EPIC 211822797,5,K2-103 b,EPIC 211822797 b,2MASS J08413848+1738240,14.568,08h41m38.49s,+17d38m24.0s,2016-12-21
EPIC 211969807,5,K2-104 b,K2-104 b,2MASS J08383283+1946256,15.149,08h38m32.82s,+19d46m25.8s,2016-12-21
EPIC 216468514,7,K2-107 b,K2-107 b,2MASS J18595649-2217363,12.749,18h59m56.49s,-22d17m36.2s,2017-02-02
EPIC 210894022,4,K2-111 b,K2-111 b,2MASS J03593351+2117552,12.300,03h59m33.54s,+21d17m55.3s,2017-05-10
EPIC 246389858,12,K2-135 b,GJ 9827 b,2MASS J23270480-0117108,10.277,23h27m04.83s,-01d17m10.6s,2017-11-02
EPIC 246389858,12,K2-135 c,GJ 9827 c,2MASS J23270480-0117108,10.277,23h27m04.83s,-01d17m10.6s,2017-11-02
EPIC 246389858,12,K2-135 d,GJ 9827 d,2MASS J23270480-0117108,10.277,23h27m04.83s,-01d17m10.6s,2017-11-02
EPIC 247589423,13,K2-136 b,K2-136 b,2MASS J04293897+2252579,10.900,04h29m38.99s,+22d52m57.8s,2017-11-09
EPIC 247589423,13,K2-136 c,K2-136 c,2MASS J04293897+2252579,10.900,04h29m38.99s,+22d52m57.8s,2017-11-09
EPIC 247589423,13,K2-136 d,K2-136 d,2MASS J04293897+2252579,10.900,04h29m38.99s,+22d52m57.8s,2017-11-09
EPIC 218916923,7,K2-139 b,K2-139 b,2MASS J19161596-1754384,11.470,19h16m15.97s,-17d54m38.5s,2017-12-14
EPIC 201528828,10,K2-165 d,K2-165 d,2MASS J12193607+0058064,11.415,12h19m36.08s,+00d58m06.2s,2018-02-15
EPIC 201615463,10,K2-166 b,K2-166 b,2MASS J12204519+0216568,11.964,12h20m45.19s,+02d16m56.8s,2018-02-15
EPIC 205904628,3,K2-167 b,K2-167 b,2MASS J22261818-1800399,8.220,22h26m18.19s,-18d00m40.2s,2018-02-15
EPIC 205950854,3,K2-168 b,K2-168 b,2MASS J22122638-1620301,12.105,22h12m26.37s,-16d20m30.3s,2018-02-15
EPIC 206007892,3,K2-169 b,K2-169 b,2MASS J22281062-1435577,12.023,22h28m10.63s,-14d35m57.8s,2018-02-15
EPIC 206008091,3,K2-170 b,K2-170 b,2MASS J22214817-1435359,12.506,22h21m48.17s,-14d35m35.8s,2018-02-15
EPIC 206008091,3,K2-170 c,K2-170 c,2MASS J22214817-1435359,12.506,22h21m48.17s,-14d35m35.8s,2018-02-15
EPIC 206049764,3,K2-171 b,K2-171 b,2MASS J22092179-1325438,12.445,22h09m21.80s,-13d25m43.9s,2018-02-15
EPIC 206082454,3,K2-172 b,K2-172 b,2MASS J22211401-1233247,12.308,22h21m14.01s,-12d33m24.8s,2018-02-15
EPIC 206082454,3,K2-172 c,K2-172 c,2MASS J22211401-1233247,12.308,22h21m14.01s,-12d33m24.8s,2018-02-15
EPIC 210403955,4,K2-80 d,K2-80 d,2MASS J03560900+1333334,12.388,03h56m09.00s,+13d33m33.4s,2018-02-15
EPIC 210512842,4,K2-173 b,K2-173 b,2MASS J04012997+1537300,12.106,04h01m29.99s,+15d37m30.1s,2018-02-15
EPIC 210558622,4,K2-174 b,K2-174 b,2MASS J04031027+1620509,12.034,04h03m10.28s,+16d20m50.8s,2018-02-15
EPIC 210643811,4,K2-175 b,K2-175 b,2MASS J03300086+1735032,10.632,03h30m00.86s,+17d35m03.1s,2018-02-15
EPIC 210667381,4,K2-176 b,K2-176 b,2MASS J03530460+1754255,12.674,03h53m04.60s,+17d54m25.5s,2018-02-15
EPIC 210857328,4,K2-177 b,K2-177 b,2MASS J03405510+2044100,12.584,03h40m55.10s,+20d44m09.9s,2018-02-15
EPIC 210965800,4,K2-178 b,K2-178 b,2MASS J03313333+2226055,12.134,03h31m33.33s,+22d26m05.5s,2018-02-15
EPIC 211048999,4,K2-179 b,K2-179 b,2MASS J03551125+2345245,12.659,03h55m11.26s,+23d45m24.5s,2018-02-15
EPIC 211319617,5,K2-180 b,K2-180 b,2MASS J08255135+1014491,12.393,08h25m51.34s,+10d14m49.1s,2018-02-15
EPIC 211355342,5,K2-181 b,K2-181 b,2MASS J08301297+1054371,12.637,08h30m12.97s,+10d54m37.1s,2018-02-15
EPIC 211359660,5,K2-182 b,K2-182 b,2MASS J08404327+1058585,11.742,08h40m43.28s,+10d58m58.6s,2018-02-15
EPIC 211562654,5,K2-183 b,K2-183 b,2MASS J08200170+1401100,12.754,08h20m01.72s,+14d01m10.1s,2018-02-15
EPIC 211562654,5,K2-183 c,K2-183 c,2MASS J08200170+1401100,12.754,08h20m01.72s,+14d01m10.1s,2018-02-15
EPIC 211562654,5,K2-183 d,K2-183 d,2MASS J08200170+1401100,12.754,08h20m01.72s,+14d01m10.1s,2018-02-15
EPIC 211594205,5,K2-184 b,K2-184 b,2MASS J08363360+1427429,10.680,08h36m33.63s,+14d27m43.0s,2018-02-15
EPIC 211611158,5,K2-185 b,K2-185 b,2MASS J08410232+1441250,12.414,08h41m02.32s,+14d41m25.2s,2018-02-15
EPIC 211906650,5,K2-186 b,K2-186 b,2MASS J09012038+1849316,12.193,09h01m20.39s,+18d49m31.6s,2018-02-15
EPIC 212157262,5,K2-187 b,K2-187 b,2MASS J08500566+2311333,12.864,08h50m05.67s,+23d11m33.4s,2018-02-15
EPIC 212157262,5,K2-187 c,K2-187 c,2MASS J08500566+2311333,12.864,08h50m05.67s,+23d11m33.4s,2018-02-15
EPIC 212157262,5,K2-187 d,K2-187 d,2MASS J08500566+2311333,12.864,08h50m05.67s,+23d11m33.4s,2018-02-15
EPIC 212157262,5,K2-187 e,K2-187 e,2MASS J08500566+2311333,12.864,08h50m05.67s,+23d11m33.4s,2018-02-15
EPIC 212164470,5,K2-188 b,K2-188 b,2MASS J08391527+2321269,12.704,08h39m15.27s,+23d21m26.9s,2018-02-15
EPIC 212164470,5,K2-188 c,K2-188 c,2MASS J08391527+2321269,12.704,08h39m15.27s,+23d21m26.9s,2018-02-15
EPIC 212394689,6,K2-189 c,K2-189 c,2MASS J13342910-1502105,12.206,13h34m29.11s,-15d02m10.9s,2018-11-01
EPIC 212394689,6,K2-189 b,K2-189 b,2MASS J13342910-1502105,12.206,13h34m29.11s,-15d02m10.9s,2018-11-01
EPIC 212480208,6,K2-190 b,K2-190 b,2MASS J13412725-1309392,10.892,13h41m27.24s,-13d09m39.2s,2018-02-15
EPIC 212480208,6,K2-190 c,K2-190 c,2MASS J13412725-1309392,10.892,13h41m27.24s,-13d09m39.2s,2018-02-15
EPIC 212496592,6,K2-191 b,K2-191 b,2MASS J13263339-1248235,12.966,13h26m33.40s,-12d48m23.6s,2018-02-15
EPIC 212555594,6,K2-192 b,K2-192 b,2MASS J13461973-1133226,12.482,13h46m19.75s,-11d33m22.5s,2018-02-15
EPIC 212580872,6,K2-193 b,K2-193 b,2MASS J13405689-1100336,13.047,13h40m56.89s,-11d00m33.5s,2018-02-15
EPIC 212672300,6,K2-194 b,K2-194 b,2MASS J13382614-0855378,12.846,13h38m26.14s,-08d55m37.7s,2018-02-15
EPIC 249889081,15,K2-286 b,K2-286 b,2MASS J15332868-1646234,12.201,15h33m28.70s,-16d46m23.7s,2019-01-10
EPIC 212689874,6,K2-195 b,K2-195 b,2MASS J13191957-0830339,12.330,13h19m19.56s,-08d30m34.1s,2018-02-15
EPIC 212689874,6,K2-195 c,K2-195 c,2MASS J13191957-0830339,12.330,13h19m19.56s,-08d30m34.1s,2018-02-15
EPIC 212691422,6,K2-196 b,K2-196 b,2MASS J13214951-0828181,11.923,13h21m49.52s,-08d28m18.2s,2018-02-15
EPIC 212735333,6,K2-197 b,K2-197 b,2MASS J13293447-0722262,11.977,13h29m34.48s,-07d22m26.4s,2018-02-15
EPIC 212768333,6,K2-198 b,K2-198 b,2MASS J13152252-0627535,11.022,13h15m22.51s,-06d27m53.6s,2018-02-15
EPIC 212779596,6,K2-199 b,K2-199 b,2MASS J13553641-0608100,11.930,13h55m36.41s,-06d08m10.1s,2018-02-15
EPIC 212779596,6,K2-199 c,K2-199 c,2MASS J13553641-0608100,11.930,13h55m36.41s,-06d08m10.1s,2018-02-15
EPIC 212828909,6,K2-200 b,K2-200 b,2MASS J13290038-0436367,12.244,13h29m00.38s,-04d36m36.8s,2018-02-15
EPIC 216008129,7,K2-201 b,K2-201 b,2MASS J19341458-2307518,11.966,19h34m14.58s,-23d07m51.7s,2018-02-15
EPIC 216008129,7,K2-201 c,K2-201 c,2MASS J19341458-2307518,11.966,19h34m14.58s,-23d07m51.7s,2018-02-15
EPIC 216405287,7,K2-202 b,K2-202 b,2MASS J18530342-2224252,12.997,18h53m03.43s,-22d24m25.3s,2018-02-15
EPIC 220170303,8,K2-203 b,K2-203 b,2MASS J00510570-0111452,12.114,00h51m05.70s,-01d11m45.2s,2018-02-15
EPIC 220186645,8,K2-204 b,K2-204 b,2MASS J01093180-0031031,12.961,01h09m31.81s,-00d31m03.4s,2018-02-15
EPIC 220211923,8,K2-205 b,K2-205 b,2MASS J01005219+0025334,12.250,01h00m52.20s,+00d25m33.6s,2018-02-15
EPIC 220216730,8,K2-206 b,K2-206 b,2MASS J00450151+0035357,12.826,00h45m01.52s,+00d35m35.7s,2018-02-15
EPIC 220218012,8,K2-207 b,K2-207 b,2MASS J00464793+0038268,12.971,00h46m47.93s,+00d38m26.9s,2018-02-15
EPIC 220225178,8,K2-208 b,K2-208 b,2MASS J01230698+0053210,12.302,01h23m06.98s,+00d53m21.0s,2018-02-15
EPIC 220241529,8,K2-209 b,K2-209 b,2MASS J00584575+0123014,10.717,00h58m45.76s,+01d23m01.7s,2018-02-15
EPIC 220250254,8,K2-210 b,K2-210 b,2MASS J01103382+0134416,11.507,01h10m33.82s,+01d34m41.8s,2018-02-15
EPIC 220256496,8,K2-211 b,K2-211 b,2MASS J01242543+0142176,12.872,01h24m25.43s,+01d42m17.8s,2018-02-15
EPIC 220321605,8,K2-212 b,K2-212 b,2MASS J01134161+0305490,12.588,01h13m41.62s,+03d05m49.0s,2018-02-15
EPIC 220341183,8,K2-213 b,K2-213 b,2MASS J00523368+0330277,12.043,00h52m33.67s,+03d30m27.7s,2018-02-15
EPIC 220376054,8,K2-214 b,K2-214 b,2MASS J00593025+0413402,11.597,00h59m30.26s,+04d13m40.1s,2018-02-15
EPIC 220471666,8,K2-215 b,K2-215 b,2MASS J01135281+0607261,12.798,01h13m52.82s,+06d07m26.0s,2018-02-15
EPIC 220481411,8,K2-216 b,K2-216 b,2MASS J00455526+0620490,12.100,00h45m55.26s,+06d20m49.1s,2018-02-15
EPIC 220487418,8,K2-217 b,K2-217 b,2MASS J00451161+0628536,12.062,00h45m11.61s,+06d28m53.6s,2018-02-15
EPIC 220503236,8,K2-218 b,K2-218 b,2MASS J00511431+0650473,12.713,00h51m14.32s,+06d50m47.3s,2018-02-15
EPIC 220592745,8,K2-219 b,K2-219 b,2MASS J00512286+0852034,11.923,00h51m22.87s,+08d52m03.5s,2018-02-15
EPIC 220592745,8,K2-219 c,K2-219 c,2MASS J00512286+0852034,11.923,00h51m22.87s,+08d52m03.5s,2018-02-15
EPIC 220592745,8,K2-219 d,K2-219 d,2MASS J00512286+0852034,11.923,00h51m22.87s,+08d52m03.5s,2018-02-15
EPIC 220621788,8,K2-220 b,K2-220 b,2MASS J00510476+0931003,11.752,00h51m04.77s,+09d31m00.5s,2018-02-15
EPIC 220650439,8,K2-221 b,K2-221 b,2MASS J01063719+1011231,12.232,01h06m37.20s,+10d11m22.9s,2018-02-15
EPIC 220709978,8,K2-222 b,K2-222 b,2MASS J01055095+1145123,9.443,01h05m50.95s,+11d45m12.3s,2018-02-15
EPIC 228721452,10,K2-223 b,K2-223 b,2MASS J12211347-1016552,11.325,12h21m13.48s,-10d16m55.3s,2018-02-15
EPIC 228721452,10,K2-223 c,K2-223 c,2MASS J12211347-1016552,11.325,12h21m13.48s,-10d16m55.3s,2018-02-15
EPIC 228725972,10,K2-224 b,K2-224 b,2MASS J12384898-1003384,12.482,12h38m48.98s,-10d03m38.4s,2018-02-15
EPIC 228734900,10,K2-225 b,K2-225 b,2MASS J12260991-0937292,11.535,12h26m09.91s,-09d37m29.3s,2018-02-15
EPIC 228736155,10,K2-226 b,K2-226 b,2MASS J12143498-0933454,12.042,12h14m34.98s,-09d33m45.5s,2018-02-15
EPIC 228760097,10,K2-227 b,K2-227 b,2MASS J12434764-0828416,11.512,12h43m47.63s,-08d28m41.7s,2018-02-15
EPIC 228798746,10,K2-228 b,K2-228 b,2MASS J12291074-0650033,12.660,12h29m10.75s,-06d50m03.3s,2018-02-15
EPIC 228801451,10,K2-229 b,K2-229 b,2MASS J12272958-0643188,10.955,12h27m29.58s,-06d43m18.7s,2018-02-15
EPIC 228801451,10,K2-229 c,K2-229 c,2MASS J12272958-0643188,10.955,12h27m29.58s,-06d43m18.7s,2018-02-15
EPIC 228804845,10,K2-230 b,K2-230 b,2MASS J12452717-0634340,12.551,12h45m27.17s,-06d34m34.0s,2018-02-15
EPIC 205117205,2,K2-33 b,K2-33 b,2MASS J16101473-1919095,14.357,16h10m14.74s,-19d19m09.4s,2016-06-23
EPIC 212697709,6,K2-41 b,WASP-157 b,2MASS J13263727-0819033,12.193,13h26m37.25s,-08d19m03.2s,2016-06-23
EPIC 210848071,4,K2-56 b,BD+20 594 b,2MASS J03343623+2035574,11.040,03h34m36.23s,+20d35m57.2s,2016-07-28
EPIC 211736671,5,K2-108 b,K2-108 b,2MASS J08133165+1625107,12.160,08h13m31.65s,+16d25m10.6s,2017-02-09
EPIC 220383386,8,K2-96 d,HD 3167 d,2MASS J00345752+0422531,8.945,00h34m57.52s,+04d22m53.3s,2017-06-08
EPIC 211418729,5,K2-114 b,K2-114 b,2MASS J08313191+1155202,14.286,08h31m31.91s,+11d55m20.2s,2017-09-15
EPIC 211442297,5,K2-115 b,K2-115 b,2MASS J08261282+1216550,13.192,08h26m12.83s,+12d16m55.0s,2017-09-15
EPIC 228813918,10,K2-137 b,K2-137 b,2MASS J12272899-0611428,14.534,12h27m28.97s,-06d11m42.8s,2017-11-16
EPIC 245950175,12,K2-138 b,K2-138 b,2MASS J23154776-1050590,12.069,23h15m47.77s,-10d50m58.9s,2018-01-11
EPIC 245950175,12,K2-138 c,K2-138 c,2MASS J23154776-1050590,12.069,23h15m47.77s,-10d50m58.9s,2018-01-11
EPIC 245950175,12,K2-138 d,K2-138 d,2MASS J23154776-1050590,12.069,23h15m47.77s,-10d50m58.9s,2018-01-11
EPIC 245950175,12,K2-138 e,K2-138 e,2MASS J23154776-1050590,12.069,23h15m47.77s,-10d50m58.9s,2018-01-11
EPIC 245950175,12,K2-138 f,K2-138 f,2MASS J23154776-1050590,12.069,23h15m47.77s,-10d50m58.9s,2018-01-11
EPIC 219800881,7,K2-231 b,K2-231 b,2MASS J19162203-1546159,12.507,19h16m22.04s,-15d46m16.0s,2018-04-05
EPIC 247098361,13,K2-232 b,K2-232 b,2MASS J04550395+1839164,9.789,04h55m03.96s,+18d39m16.3s,2018-04-05
EPIC 248777106,14,K2-234 b,HD 89345 b,2MASS J10184106+1007445,9.204,10h18m41.06s,+10d07m44.5s,2018-05-31
EPIC 228724232,10,K2-235 b,WASP-107 b,2MASS J12333284-1008461,11.243,12h33m32.85s,-10d08m46.1s,2018-05-31
EPIC 211945201,5,K2-236 b,EPIC 211945201 b,2MASS J09061775+1924080,10.115,09h06m17.75s,+19d24m08.1s,2018-05-31
EPIC 229426032,11,K2-237 b,K2-237 b,2MASS J16550453-2842380,11.468,16h55m04.53s,-28d42m38.0s,2018-06-21
EPIC 246067459,12,K2-238 b,K2-238 b,2MASS J23104905-0751270,13.552,23h10m49.04s,-07d51m27.0s,2018-06-21
EPIC 248545986,14,K2-239 b,K2-239 b,2MASS J10422263+0426287,13.545,10h42m22.63s,+04d26m28.9s,2018-06-21
EPIC 248545986,14,K2-239 c,K2-239 c,2MASS J10422263+0426287,13.545,10h42m22.63s,+04d26m28.9s,2018-06-21
EPIC 248545986,14,K2-239 d,K2-239 d,2MASS J10422263+0426287,13.545,10h42m22.63s,+04d26m28.9s,2018-06-21
EPIC 249801827,15,K2-240 b,K2-240 b,2MASS J15112391-1752307,12.666,15h11m23.91s,-17d52m30.8s,2018-06-21
EPIC 249801827,15,K2-240 c,K2-240 c,2MASS J15112391-1752307,12.666,15h11m23.91s,-17d52m30.8s,2018-06-21
EPIC 201092629,10,K2-241 b,K2-241 b,2MASS J12045739-0648180,11.858,12h04m57.45s,-06d48m17.7s,2018-07-12
EPIC 201102594,10,K2-242 b,K2-242 b,2MASS J11592060-0631042,15.615,11h59m20.62s,-06d31m04.3s,2018-07-12
EPIC 201132684,10,K2-158 c,K2-158 c,2MASS J11594560-0543182,11.678,11h59m45.60s,-05d43m18.2s,2018-07-12
EPIC 201166680,10,K2-243 b,K2-243 b,2MASS J12042913-0453572,10.897,12h04m29.14s,-04d53m57.1s,2018-07-12
EPIC 201166680,10,K2-243 c,K2-243 c,2MASS J12042913-0453572,10.897,12h04m29.14s,-04d53m57.1s,2018-07-12
EPIC 201211526,10,K2-244 b,K2-244 b,2MASS J12135253-0349547,11.696,12h13m52.54s,-03d49m54.7s,2018-07-12
EPIC 201357643,10,K2-245 b,K2-245 b,2MASS J12204359-0135271,11.998,12h20m43.60s,-01d35m27.2s,2018-07-12
EPIC 201386739,10,K2-246 b,K2-246 b,2MASS J12063112-0109379,14.423,12h06m31.13s,-01d09m38.0s,2018-07-12
EPIC 201637175,1,K2-22 b,K2-22 b,2MASS J11175587+0237086,14.928,11h17m55.88s,+02d37m08.7s,2015-10-15
EPIC 206103150,3,K2-23 b,WASP-47 b,2MASS J22044873-1201079,11.762,22h04m48.73s,-12d01m08.0s,2015-10-15
EPIC 206103150,3,K2-23 c,WASP-47 c,2MASS J22044873-1201079,11.762,22h04m48.73s,-12d01m08.0s,2015-10-15
EPIC 206103150,3,K2-23 d,WASP-47 d,2MASS J22044873-1201079,11.762,22h04m48.73s,-12d01m08.0s,2015-10-15
EPIC 206103150,3,K2-23 e,WASP-47 e,2MASS J22044873-1201079,11.762,22h04m48.73s,-12d01m08.0s,2015-10-15
EPIC 203771098,2,K2-24 b,K2-24 b,2MASS J16101770-2459251,11.648,16h10m17.69s,-24d59m25.2s,2016-02-11
EPIC 203771098,2,K2-24 c,K2-24 c,2MASS J16101770-2459251,11.648,16h10m17.69s,-24d59m25.2s,2016-02-11
EPIC 201546283,1,K2-27 b,K2-27 b,2MASS J11260363+0113505,12.428,11h26m03.64s,+01d13m50.7s,2016-02-11
EPIC 206318379,3,K2-28 b,K2-28 b,2MASS J22222988-0757195,14.854,22h22m29.85s,-07d57m19.3s,2016-02-25
EPIC 201505350,1,K2-19 d,K2-19 d,2MASS J11395048+0036129,12.806,11h39m50.47s,+00d36m12.9s,2016-05-05
EPIC 204129699,2,K2-31 b,K2-31 b,2MASS J16214578-2332520,10.607,16h21m45.78s,-23d32m52.3s,2016-05-05
EPIC 205071984,2,K2-32 b,K2-32 b,2MASS J16494226-1932340,12.005,16h49m42.26s,-19d32m34.2s,2016-05-05
EPIC 205071984,2,K2-32 c,K2-32 d,2MASS J16494226-1932340,12.005,16h49m42.26s,-19d32m34.2s,2016-05-05
EPIC 205071984,2,K2-32 d,K2-32 c,2MASS J16494226-1932340,12.005,16h49m42.26s,-19d32m34.2s,2016-05-05
EPIC 212110888,5,K2-34 b,K2-34 b,2MASS J08301891+2214092,11.441,08h30m18.91s,+22d14m09.3s,2016-05-05
EPIC 206154641,3,K2-40 b,WASP-75 b,2MASS J22493256-1040320,11.299,22h49m32.57s,-10d40m32.0s,2016-06-09
EPIC 201445392,1,K2-8 c,K2-8 c,2MASS J11191047-0017036,14.384,11h19m10.48s,-00d17m03.8s,2016-07-07
EPIC 201549860,1,K2-35 b,K2-35 b,2MASS J11202473+0117094,13.917,11h20m24.74s,+01d17m09.4s,2016-07-07
